Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.75     0.00      882     0.00     0.00  bool __gnu_cxx::operator!=<ns3::Ptr<ns3::Application> const*, std::vector<ns3::Ptr<ns3::Application>, std::allocator<ns3::Ptr<ns3::Application> > > >(__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Application> const*, std::vector<ns3::Ptr<ns3::Application>, std::allocator<ns3::Ptr<ns3::Application> > > > const&, __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Application> const*, std::vector<ns3::Ptr<ns3::Application>, std::allocator<ns3::Ptr<ns3::Application> > > > const&)
  0.00      6.75     0.00      877     0.00     0.00  ns3::AddressValue::~AddressValue()
  0.00      6.75     0.00      876     0.00     0.00  ns3::AddressValue::~AddressValue()
  0.00      6.75     0.00      864     0.00     0.00  ns3::Ptr<ns3::Application>::Ptr(ns3::Ptr<ns3::Application> const&)
  0.00      6.75     0.00      864     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Application> const*, std::vector<ns3::Ptr<ns3::Application>, std::allocator<ns3::Ptr<ns3::Application> > > >::operator++()
  0.00      6.75     0.00      864     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Application> const*, std::vector<ns3::Ptr<ns3::Application>, std::allocator<ns3::Ptr<ns3::Application> > > >::operator*() const
  0.00      6.75     0.00      864     0.00     0.00  void std::_Construct<ns3::Ptr<ns3::Application>, ns3::Ptr<ns3::Application> const&>(ns3::Ptr<ns3::Application>*, ns3::Ptr<ns3::Application> const&&&)
  0.00      6.75     0.00      864     0.00     0.00  ns3::Ptr<ns3::Application> const&&& std::forward<ns3::Ptr<ns3::Application> const&>(std::identity<ns3::Ptr<ns3::Application> const&>::type&&)
  0.00      6.75     0.00      659     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > >::_M_get_Tp_allocator()
  0.00      6.75     0.00      648     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::NetDevice> >::~new_allocator()
  0.00      6.75     0.00      648     0.00     0.00  std::allocator<ns3::Ptr<ns3::NetDevice> >::~allocator()
  0.00      6.75     0.00      648     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > >::_Vector_impl::~_Vector_impl()
  0.00      6.75     0.00      648     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > >::_M_deallocate(ns3::Ptr<ns3::NetDevice>*, unsigned long)
  0.00      6.75     0.00      648     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > >::~_Vector_base()
  0.00      6.75     0.00      648     0.00     0.02  std::vector<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > >::~vector()
  0.00      6.75     0.00      648     0.00     0.02  void std::_Destroy<ns3::Ptr<ns3::NetDevice>*, ns3::Ptr<ns3::NetDevice> >(ns3::Ptr<ns3::NetDevice>*, ns3::Ptr<ns3::NetDevice>*, std::allocator<ns3::Ptr<ns3::NetDevice> >&)
  0.00      6.75     0.00      644     0.00     0.02  ns3::NetDeviceContainer::~NetDeviceContainer()
  0.00      6.75     0.00      596     0.00     0.00  ns3::Ptr<ns3::Node>::Ptr(ns3::Node*)
  0.00      6.75     0.00      596     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::Application> >::deallocate(ns3::Ptr<ns3::Application>*, unsigned long)
  0.00      6.75     0.00      594     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      6.75     0.00      587     0.00     0.02  ns3::CsmaHelper::~CsmaHelper()
  0.00      6.75     0.00      587     0.00     0.00  ns3::PcapHelperForDevice::~PcapHelperForDevice()
  0.00      6.75     0.00      587     0.00     0.00  ns3::AsciiTraceHelperForDevice::~AsciiTraceHelperForDevice()
  0.00      6.75     0.00      585     0.00     0.02  ns3::CsmaHelper::~CsmaHelper()
  0.00      6.75     0.00      585     0.00     0.00  std::shared_ptr<ns3::CsmaHelper>::shared_ptr<ns3::CsmaHelper>(ns3::CsmaHelper*)
  0.00      6.75     0.00      585     0.00     0.02  std::shared_ptr<ns3::CsmaHelper>::~shared_ptr()
  0.00      6.75     0.00      585     0.00     0.00  std::_Mutex_base<(__gnu_cxx::_Lock_policy)2>::_Mutex_base()
  0.00      6.75     0.00      585     0.00     0.00  std::__shared_ptr<ns3::CsmaHelper, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<ns3::CsmaHelper>(ns3::CsmaHelper*)
  0.00      6.75     0.00      585     0.00     0.02  std::__shared_ptr<ns3::CsmaHelper, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      6.75     0.00      585     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count<ns3::CsmaHelper*>(ns3::CsmaHelper*)
  0.00      6.75     0.00      585     0.00     0.02  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      6.75     0.00      585     0.00     0.00  std::_Sp_counted_ptr<ns3::CsmaHelper*, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      6.75     0.00      585     0.00     0.02  std::_Sp_counted_ptr<ns3::CsmaHelper*, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      6.75     0.00      585     0.00     0.00  std::_Sp_counted_ptr<ns3::CsmaHelper*, (__gnu_cxx::_Lock_policy)2>::_Sp_counted_ptr(ns3::CsmaHelper*)
  0.00      6.75     0.00      585     0.00     0.00  std::_Sp_counted_ptr<ns3::CsmaHelper*, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr()
  0.00      6.75     0.00      585     0.00     0.00  std::_Sp_counted_ptr<ns3::CsmaHelper*, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr()
  0.00      6.75     0.00      585     0.00     0.02  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      6.75     0.00      585     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_Sp_counted_base()
  0.00      6.75     0.00      585     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::~_Sp_counted_base()
  0.00      6.75     0.00      585     0.00     0.00  void std::__enable_shared_from_this_helper<(__gnu_cxx::_Lock_policy)2>(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&, ...)
  0.00      6.75     0.00      576     0.00     0.00  EunetSwitch::getDownlinkCsmaHelper() const
  0.00      6.75     0.00      468     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      6.75     0.00      432     0.00     0.00  EunetSwitch::getDownlinkPort(int) const
  0.00      6.75     0.00      198     0.00     0.00  ns3::DefaultDeleter<ns3::AttributeChecker>::Delete(ns3::AttributeChecker*)
